t,z(t),v(t),F(t) (added)
3.859997,1.427663,-1.20899,-142.7663
3.879997,1.402912,-1.237543,-140.2912
3.899997,1.3776,-1.265601,-137.76
3.919997,1.351737,-1.293153,-135.1737
3.939997,1.325333,-1.320188,-132.5333
3.959997,1.298399,-1.346695,-129.84
3.979997,1.270946,-1.372663,-127.0946
3.999997,1.242985,-1.398082,-124.2985
4.019997,1.214526,-1.422941,-121.4526
4.039997,1.185581,-1.447232,-118.5581
4.059997,1.156162,-1.470943,-115.6162
4.079997,1.126281,-1.494067,-112.6281
4.099997,1.095949,-1.516592,-109.5949
4.119997,1.065179,-1.538511,-106.5179
4.139997,1.033983,-1.559815,-103.3983
4.159997,1.002373,-1.580494,-100.2373
4.179997,0.9703618,-1.600542,-97.03618
4.199997,0.9379628,-1.619949,-93.79628
4.219997,0.9051886,-1.638708,-90.51886
4.239997,0.8720524,-1.656812,-87.20524
4.259997,0.8385673,-1.674253,-83.85674
4.279997,0.8047468,-1.691024,-80.47468
4.299997,0.7706044,-1.707119,-77.06044
4.319997,0.7361538,-1.722531,-73.61538
4.339997,0.7014087,-1.737255,-70.14087
4.359997,0.666383,-1.751283,-66.63831
4.379997,0.6310908,-1.76461,-63.10908
4.399997,0.5955462,-1.777232,-59.55462
4.419997,0.5597633,-1.789143,-55.97633
4.439997,0.5237566,-1.800338,-52.37566
4.459997,0.4875403,-1.810814,-48.75403
4.479997,0.451129,-1.820564,-45.1129
4.499997,0.4145373,-1.829587,-41.45373
4.519997,0.3777797,-1.837878,-37.77797
4.539997,0.3408711,-1.845433,-34.0871
4.559997,0.303826,-1.852251,-30.3826
4.579997,0.2666595,-1.858327,-26.66595
4.599997,0.2293863,-1.863661,-22.93863
4.619997,0.1920213,-1.868248,-19.20213
4.639997,0.1545795,-1.872089,-15.45795
4.659997,0.1170759,-1.87518,-11.70759
4.679996,0.07952549,-1.877522,-7.952549
4.699996,0.04194324,-1.879112,-4.194324
4.719996,0.004344217,-1.879951,-0.4344217
4.739996,-0.03325655,-1.880038,3.325655
4.759996,-0.070844,-1.879373,7.0844
4.779996,-0.1084031,-1.877956,10.84031
4.799996,-0.1459189,-1.875788,14.59189
4.819996,-0.1833763,-1.87287,18.33763
4.839996,-0.2207603,-1.869202,22.07603
4.859996,-0.258056,-1.864787,25.8056
4.879996,-0.2952486,-1.859626,29.52486
4.899996,-0.332323,-1.853721,33.2323
4.919996,-0.3692645,-1.847074,36.92645
4.939996,-0.4060583,-1.839689,40.60582
4.959996,-0.4426896,-1.831568,44.26896
4.979996,-0.4791439,-1.822714,47.91439
4.999996,-0.5154065,-1.813131,51.54065
5.019996,-0.5514629,-1.802823,55.14629
5.039996,-0.5872988,-1.791794,58.72988
5.059996,-0.6228998,-1.780048,62.28998
5.079996,-0.6582516,-1.76759,65.82516
5.099996,-0.6933401,-1.754425,69.33401
5.119996,-0.7281512,-1.740558,72.81512
5.139996,-0.7626711,-1.725995,76.26711
5.159996,-0.796886,-1.710742,79.6886
5.179996,-0.8307821,-1.694804,83.07821
5.199996,-0.8643458,-1.678189,86.43459
5.219996,-0.8975639,-1.660902,89.75639
5.239996,-0.9304229,-1.64295,93.04229
5.259996,-0.9629098,-1.624342,96.29098
5.279996,-0.9950114,-1.605084,99.50114
5.299996,-1.026715,-1.585184,102.6715
5.319996,-1.058008,-1.564649,105.8008
