t,x(t),v(t),F(t) (added)
5.779995,0.5053399,0.2897585,-50.53399
5.799995,0.510933,0.2796517,-51.0933
5.819995,0.5163217,0.2694331,-51.63216
5.839995,0.5215038,0.2591066,-52.15038
5.859995,0.5264773,0.2486766,-52.64774
5.879995,0.5312403,0.238147,-53.12403
5.899995,0.5357907,0.2275222,-53.57907
5.919995,0.5401269,0.2168064,-54.01269
5.939995,0.5442469,0.2060038,-54.42469
5.959995,0.5481493,0.1951189,-54.81493
5.979995,0.5518324,0.1841559,-55.18324
5.999995,0.5552948,0.1731193,-55.52948
6.019995,0.558535,0.1620134,-55.8535
6.039995,0.5615519,0.1508427,-56.15519
6.059995,0.5643441,0.1396116,-56.43441
6.079995,0.5669106,0.1283247,-56.69106
6.099995,0.5692503,0.1169865,-56.92503
6.119995,0.5713624,0.1056015,-57.13624
6.139995,0.5732459,0.09417428,-57.32459
6.159995,0.5749001,0.08270936,-57.49001
6.179995,0.5763243,0.07121136,-57.63243
6.199995,0.577518,0.05968487,-57.7518
6.219995,0.5784807,0.04813451,-57.84807
6.239995,0.579212,0.0365649,-57.9212
6.259995,0.5797116,0.02498065,-57.97116
6.279995,0.5799794,0.01338642,-57.99794
6.299995,0.5800151,0.001786833,-58.00151
6.319995,0.5798188,-0.00981347,-57.98188
6.339995,0.5793906,-0.02140985,-57.93906
6.359995,0.5787307,-0.03299766,-57.87307
6.379995,0.5778393,-0.04457228,-57.78392
6.399995,0.5767167,-0.05612906,-57.67167
6.419995,0.5753634,-0.06766339,-57.53634
6.439995,0.57378,-0.07917066,-57.378
6.459995,0.5719671,-0.09064626,-57.1967
6.479995,0.5699254,-0.1020856,-56.99254
6.499995,0.5676557,-0.1134841,-56.76557
6.519995,0.565159,-0.1248372,-56.5159
6.539995,0.5624362,-0.1361404,-56.24362
6.559995,0.5594884,-0.1473891,-55.94884
6.579995,0.5563168,-0.1585789,-55.63168
6.599995,0.5529227,-0.1697052,-55.29227
6.619995,0.5493074,-0.1807637,-54.93074
6.639995,0.5454724,-0.1917498,-54.54724
6.659995,0.5414192,-0.2026593,-54.14192
6.679995,0.5371494,-0.2134877,-53.71494
6.699995,0.5326648,-0.2242307,-53.26648
6.719995,0.5279672,-0.234884,-52.79671
6.739995,0.5230583,-0.2454433,-52.30583
6.759995,0.5179402,-0.2559045,-51.79402
6.779994,0.512615,-0.2662633,-51.2615
6.799994,0.5070847,-0.2765156,-50.70847
6.819994,0.5013515,-0.2866573,-50.13515
6.839994,0.4954179,-0.2966843,-49.54179
6.859994,0.489286,-0.3065926,-48.9286
6.879994,0.4829584,-0.3163784,-48.29585
6.899994,0.4764377,-0.3260375,-47.64377
6.919994,0.4697264,-0.3355663,-46.97264
6.939994,0.4628271,-0.3449608,-46.28271
6.959994,0.4557428,-0.3542174,-45.57428
6.979994,0.4484762,-0.3633322,-44.84762
6.999994,0.4410301,-0.3723017,-44.10302
7.019994,0.4334077,-0.3811223,-43.34077
7.039994,0.4256119,-0.3897905,-42.56119
7.059994,0.4176458,-0.3983027,-41.76458
7.079994,0.4095127,-0.4066556,-40.95127
7.099994,0.4012158,-0.4148459,-40.12158
7.119994,0.3927584,-0.4228702,-39.27584
7.139994,0.3841439,-0.4307253,-38.41439
7.159994,0.3753757,-0.4384082,-37.53757
7.179994,0.3664574,-0.4459157,-36.64574
7.199994,0.3573925,-0.4532449,-35.73925
7.219994,0.3481847,-0.4603927,-34.81847
7.239994,0.3388376,-0.4673564,-33.88375
7.259994,0.3293549,-0.4741332,-32.93549
7.279994,0.3197405,-0.4807203,-31.97405
7.299994,0.3099982,-0.4871151,-30.99982
7.319994,0.3001319,-0.493315,-30.01319
7.339994,0.2901456,-0.4993176,-29.01456
7.359994,0.2800432,-0.5051206,-28.00432
7.379994,0.2698287,-0.5107214,-26.98287
7.399994,0.2595064,-0.516118,-25.95064
7.419994,0.2490802,-0.5213082,-24.90802
7.439994,0.2385544,-0.5262898,-23.85544
7.459994,0.2279332,-0.5310609,-22.79332
7.479994,0.2172208,-0.5356196,-21.72208
7.499994,0.2064215,-0.539964,-20.64215
7.519994,0.1955397,-0.5440924,-19.55397
7.539994,0.1845796,-0.5480032,-18.45796
7.559994,0.1735457,-0.5516948,-17.35457
7.579994,0.1624424,-0.5551657,-16.24424
7.599994,0.1512741,-0.5584146,-15.12741
7.619994,0.1400453,-0.5614401,-14.00453
7.639994,0.1287605,-0.5642409,-12.87605
7.659994,0.1174242,-0.5668162,-11.74242
7.679994,0.1060409,-0.5691646,-10.60409
7.699994,0.0946152,-0.5712854,-9.46152
7.719994,0.08315165,-0.5731778,-8.315165
7.739994,0.07165483,-0.5748408,-7.165483
7.759994,0.06012935,-0.5762739,-6.012935
7.779994,0.04857982,-0.5774764,-4.857982
7.799994,0.03701086,-0.5784481,-3.701086
7.819993,0.0254271,-0.5791883,-2.54271
7.839993,0.01383316,-0.5796968,-1.383316
7.859993,0.00223369,-0.5799735,-0.223369
7.879993,-0.009366674,-0.5800182,0.9366674
7.899993,-0.02096329,-0.5798309,2.096329
7.919993,-0.03255153,-0.5794116,3.255153
7.939993,-0.04412674,-0.5787606,4.412674
7.959993,-0.0556843,-0.5778781,5.56843
7.979993,-0.06721959,-0.5767644,6.721959
7.999993,-0.07872798,-0.57542,7.872798
8.019994,-0.09020489,-0.5738454,9.02049
8.039994,-0.1016457,-0.5720413,10.16457
8.059995,-0.1130459,-0.5700084,11.30459
8.079995,-0.1244008,-0.5677475,12.44008
8.099996,-0.135706,-0.5652595,13.5706
8.119996,-0.1469569,-0.5625454,14.69569
8.139997,-0.1581491,-0.5596062,15.81491
8.159997,-0.1692779,-0.5564432,16.92779
8.179997,-0.1803391,-0.5530577,18.03391
8.199998,-0.1913281,-0.5494509,19.13281
8.219998,-0.2022406,-0.5456243,20.22406
8.239999,-0.2130722,-0.5415795,21.30722
8.259999,-0.2238185,-0.5373181,22.38185
8.28,-0.2344754,-0.5328417,23.44754
8.3,-0.2450384,-0.5281522,24.50384
8.320001,-0.2555034,-0.5232514,25.55034
8.340001,-0.2658663,-0.5181413,26.58663
8.360002,-0.2761227,-0.512824,27.61227
8.380002,-0.2862688,-0.5073016,28.62688
8.400002,-0.2963003,-0.5015762,29.63003
8.420003,-0.3062133,-0.4956502,30.62133
8.440003,-0.3160038,-0.4895259,31.60038
8.460004,-0.3256679,-0.4832058,32.56679
8.480004,-0.3352018,-0.4766925,33.52018
8.500005,-0.3446015,-0.4699884,34.46016
8.520005,-0.3538635,-0.4630964,35.38635
8.540006,-0.3629839,-0.4560191,36.29839
8.560006,-0.371959,-0.4487595,37.1959
8.580007,-0.3807854,-0.4413203,38.07854
8.600007,-0.3894595,-0.4337046,38.94595
8.620008,-0.3979778,-0.4259154,39.79778
8.640008,-0.4063369,-0.4179558,40.63369
8.660008,-0.4145335,-0.4098291,41.45335
8.680009,-0.4225643,-0.4015384,42.25643
8.700009,-0.430426,-0.3930871,43.0426
8.72001,-0.4381156,-0.3844786,43.81156
8.74001,-0.4456299,-0.3757163,44.56299
8.760011,-0.452966,-0.3668037,45.2966
8.780011,-0.4601209,-0.3577444,46.01209
8.800012,-0.4670917,-0.348542,46.70918
8.820012,-0.4738757,-0.3392002,47.38757
8.840013,-0.4804702,-0.3297226,48.04702
8.860013,-0.4868724,-0.3201132,48.68724
8.880013,-0.49308,-0.3103758,49.30799
8.900014,-0.4990903,-0.3005142,49.90903
8.920014,-0.5049009,-0.2905324,50.49009
8.940015,-0.5105096,-0.2804344,51.05096
8.960015,-0.515914,-0.2702242,51.5914
8.980016,-0.5211121,-0.2599059,52.11121
9.000016,-0.5261018,-0.2494837,52.61018
9.020017,-0.530881,-0.2389616,53.0881
9.040017,-0.535448,-0.228344,53.5448
9.060018,-0.5398006,-0.2176351,53.98006
9.080018,-0.5439374,-0.206839,54.39375
9.100019,-0.5478566,-0.1959603,54.78566
9.120019,-0.5515567,-0.1850032,55.15567
9.140019,-0.5550361,-0.173972,55.50361
9.16002,-0.5582936,-0.1628713,55.82936
9.18002,-0.5613277,-0.1517054,56.13277
9.200021,-0.5641373,-0.1404789,56.41373
9.220021,-0.5667212,-0.1291961,56.67212
9.240022,-0.5690784,-0.1178617,56.90784
9.260022,-0.5712081,-0.1064801,57.12081
9.280023,-0.5731091,-0.09505598,57.31091
9.300023,-0.574781,-0.0835938,57.4781
9.320024,-0.576223,-0.07209818,57.6223
9.340024,-0.5774344,-0.06057372,57.74344
9.360024,-0.5784149,-0.04902504,57.84149
9.380025,-0.579164,-0.03745674,57.9164
9.400025,-0.5796815,-0.02587346,57.96815
9.420026,-0.5799671,-0.01427983,57.99672
9.440026,-0.5800207,-0.002680488,58.00207
9.460027,-0.5798423,0.008919926,57.98423
9.480027,-0.579432,0.02051677,57.9432
9.500028,-0.5787899,0.03210541,57.87899
9.520028,-0.5779163,0.0436812,57.79163
9.540029,-0.5768115,0.05523953,57.68115
9.560029,-0.575476,0.06677575,57.5476
9.580029,-0.5739103,0.07828528,57.39103
9.60003,-0.572115,0.08976348,57.2115
9.62003,-0.5700909,0.1012058,57.00909
9.640031,-0.5678387,0.1126076,56.78387
9.660031,-0.5653594,0.1239644,56.53594
9.680032,-0.562654,0.1352716,56.2654
9.700032,-0.5597234,0.1465246,55.97234
9.720033,-0.556569,0.1577191,55.6569
9.740033,-0.553192,0.1688505,55.3192
9.760034,-0.5495937,0.1799143,54.95937
9.780034,-0.5457757,0.1909062,54.57756
9.800035,-0.5417392,0.2018217,54.17392
9.820035,-0.5374861,0.2126565,53.74861
9.840035,-0.5330179,0.2234062,53.30179
9.860036,-0.5283366,0.2340666,52.83366
9.880036,-0.5234439,0.2446333,52.34439
9.900037,-0.5183419,0.2551022,51.83419
9.920037,-0.5130325,0.265469,51.30325
9.940038,-0.5075179,0.2757297,50.75179
9.960038,-0.5018003,0.28588,50.18003
9.980039,-0.495882,0.295916,49.5882
10.00004,-0.4897653,0.3058336,48.97653
10.02004,-0.4834527,0.3156289,48.34527
10.04004,-0.4769468,0.325298,47.69468
10.06004,-0.47025,0.334837,47.02501
10.08004,-0.4633652,0.3442419,46.33652
10.10004,-0.456295,0.3535092,45.6295
10.12004,-0.4490423,0.3626351,44.90423
10.14004,-0.44161,0.371616,44.161
10.16004,-0.4340011,0.3804482,43.4001
10.18004,-0.4262185,0.3891282,42.62185
10.20004,-0.4182655,0.3976525,41.82655
10.22004,-0.4101451,0.4060178,41.01451
10.24004,-0.4018607,0.4142208,40.18607
10.26005,-0.3934155,0.422258,39.34155
10.28005,-0.384813,0.4301263,38.4813
10.30005,-0.3760565,0.4378226,37.60565
10.32005,-0.3671497,0.4453437,36.71497
10.34005,-0.3580959,0.4526867,35.80959
10.36005,-0.3488989,0.4598486,34.8899
10.38005,-0.3395624,0.4668266,33.95624
10.40005,-0.33009,0.4736178,33.009
10.42005,-0.3204857,0.4802196,32.04856
10.44005,-0.3107531,0.4866293,31.07531
10.46005,-0.3008962,0.4928444,30.08962
10.48005,-0.2909189,0.4988623,29.09189
10.50005,-0.2808253,0.5046807,28.08253
10.52005,-0.2706194,0.5102972,27.06194
10.54005,-0.2603052,0.5157096,26.03052
10.56005,-0.2498869,0.5209157,24.98869
10.58005,-0.2393686,0.5259134,23.93686
10.60005,-0.2287546,0.5307008,22.87546
10.62005,-0.2180491,0.5352759,21.80491
10.64005,-0.2072563,0.5396369,20.72564
10.66005,-0.1963807,0.543782,19.63807
10.68005,-0.1854265,0.5477096,18.54265
10.70006,-0.1743982,0.5514181,17.43982
10.72006,-0.1633,0.5549061,16.33
10.74006,-0.1521366,0.558172,15.21366
10.76006,-0.1409123,0.5612148,14.09123
10.78006,-0.1296316,0.564033,12.96316
10.80006,-0.1182991,0.5666257,11.82991
10.82006,-0.1069193,0.5689917,10.69193
10.84006,-0.0954967,0.57113,9.54967
10.86006,-0.0840359,0.5730399,8.40359
10.88006,-0.07254149,0.5747207,7.254149
10.90006,-0.06101806,0.5761715,6.101806
10.92006,-0.04947022,0.5773919,4.947022
10.94006,-0.0379026,0.5783812,3.79026
10.96006,-0.02631982,0.5791393,2.631982
10.98006,-0.0147265,0.5796657,1.47265
11.00006,-0.003127301,0.5799602,0.3127301
11.02006,0.008473152,0.5800227,-0.8473153
11.04006,0.02007022,0.5798532,-2.007022
11.06006,0.03165925,0.5794519,-3.165925
11.08006,0.04323563,0.5788187,-4.323563
11.10006,0.05479471,0.577954,-5.479471
11.12006,0.06633187,0.5768581,-6.633187
11.14007,0.0778425,0.5755315,-7.78425
11.16007,0.08932199,0.5739746,-8.932199
11.18007,0.1007658,0.5721882,-10.07658
11.20007,0.1121692,0.5701729,-11.21692
11.22007,0.1235278,0.5679295,-12.35278
11.24007,0.134837,0.565459,-13.4837
11.26007,0.1460922,0.5627622,-14.60922
11.28007,0.157289,0.5598404,-15.7289
11.30007,0.1684229,0.5566946,-16.84229
11.32007,0.1794895,0.5533262,-17.94895
11.34007,0.1904842,0.5497364,-19.04842
11.36007,0.2014027,0.5459267,-20.14027
11.38007,0.2122407,0.5418986,-21.22407
11.40007,0.2229938,0.5376538,-22.29938
11.42007,0.2336577,0.5331939,-23.36577
11.44007,0.2442281,0.5285208,-24.42281
11.46007,0.2547008,0.5236363,-25.47008
11.48007,0.2650717,0.5185423,-26.50717
11.50007,0.2753365,0.5132409,-27.53365
11.52007,0.2854912,0.5077341,-28.54912
11.54007,0.2955317,0.5020243,-29.55317
11.56007,0.3054539,0.4961137,-30.54539
11.58008,0.315254,0.4900046,-31.5254
11.60008,0.324928,0.4836995,-32.4928
11.62008,0.334472,0.4772009,-33.4472
11.64008,0.3438823,0.4705115,-34.38823
11.66008,0.3531549,0.4636339,-35.31549
11.68008,0.3622863,0.4565708,-36.22863
11.70008,0.3712728,0.4493251,-37.12729
11.72008,0.3801108,0.4418996,-38.01108
11.74008,0.3887968,0.4342974,-38.87968
11.76008,0.3973272,0.4265215,-39.73272
11.78008,0.4056987,0.4185749,-40.56987
11.80008,0.4139079,0.4104609,-41.39079
11.82008,0.4219516,0.4021828,-42.19516
11.84008,0.4298265,0.3937437,-42.98265
11.86008,0.4375294,0.3851472,-43.75294
11.88008,0.4450573,0.3763966,-44.50573
11.90008,0.4524072,0.3674954,-45.24072
11.92008,0.4595762,0.3584473,-45.95762
11.94008,0.4665613,0.3492558,-46.65613
11.96008,0.4733598,0.3399246,-47.33598
